job_category,avg_category_exposure
Math,0.583
"Media And Communication",0.5647
"Business And Financial",0.5427
Sales,0.5016
"Life Physical And Social Science",0.4912
"Office And Administrative Support",0.4658
Legal,0.4542
Management,0.4415
"Architecture And Engineering",0.4208
"Arts And Design",0.3868
"Education Training And Library",0.3857
"Community And Social Service",0.3804
"Protective Service",0.2676
"Personal Care And Service",0.2654
Healthcare,0.2646
"Transportation And Material Moving",0.212
"Entertainment And Sports",0.1781
"Food Preparation And Serving",0.1548
"Building And Grounds Cleaning",0.1285
"Installation Maintenance And Repair",0.1044
Production,0.0935
"Farming Fishing And Forestry",0.09
"Construction And Extraction",0.0644
