occupation_title,annual_wage,ai_exposure,risk_reward_quadrant
"Airline and commercial pilots",198100,0.222,"High Wage / Low Risk"
Dentists,179210,0.149,"High Wage / Low Risk"
"Computer and information systems managers",171200,0.561,"High Wage / High Risk"
"Architectural and engineering managers",167740,0.331,"High Wage / Low Risk"
"Physicists and astronomers",166290,0.529,"High Wage / High Risk"
"Financial managers",161700,0.454,"High Wage / High Risk"
"Natural sciences managers",161180,0.487,"High Wage / High Risk"
"Computer hardware engineers",155020,0.318,"High Wage / Low Risk"
Podiatrists,152800,0.286,"High Wage / Low Risk"
Lawyers,151160,0.475,"High Wage / High Risk"
"Air traffic controllers",144580,0.307,"High Wage / Low Risk"
"Petroleum engineers",141280,0.431,"High Wage / High Risk"
"Compensation and benefits managers",140360,0.461,"High Wage / High Risk"
"Human resources managers",140030,0.45,"High Wage / High Risk"
"Political scientists",139380,0.542,"High Wage / High Risk"
"Medical dosimetrists",138110,0.3,"High Wage / Low Risk"
"Sales managers",138060,0.483,"High Wage / High Risk"
Pharmacists,137480,0.4,"High Wage / High Risk"
"Aerospace engineers",134830,0.518,"High Wage / High Risk"
Optometrists,134830,0.05,"High Wage / Low Risk"
"Physician assistants",133260,0.11,"High Wage / Low Risk"
"Public relations and fundraising managers",132870,0.538,"High Wage / High Risk"
"Nuclear engineers",127520,0.475,"High Wage / High Risk"
"Training and development managers",127090,0.477,"High Wage / High Risk"
Actuaries,125770,0.537,"High Wage / High Risk"
Veterinarians,125510,0.23,"High Wage / Low Risk"
"Chemical engineers",121860,0.346,"High Wage / Low Risk"
"Sales engineers",121520,0.534,"High Wage / High Risk"
"Industrial production managers",121440,0.33,"High Wage / Low Risk"
"Electrical and electronics engineers",118780,0.427,"High Wage / High Risk"
"Medical and health services managers",117960,0.371,"High Wage / High Risk"
Economists,115440,0.617,"High Wage / High Risk"
"Art directors",111040,0.431,"High Wage / High Risk"
"Health and safety engineers",109660,0.568,"High Wage / High Risk"
"Materials engineers",108310,0.317,"High Wage / Low Risk"
"Construction managers",106980,0.4,"High Wage / High Risk"
"Bioengineers and biomedical engineers",106950,0.538,"High Wage / High Risk"
"Administrative services and facilities managers",106880,0.452,"High Wage / High Risk"
"Elevator and escalator installers and repairers",106580,0.079,"High Wage / Low Risk"
"Marine engineers and naval architects",105670,0.404,"High Wage / High Risk"
"Nuclear technicians",104240,0.284,"High Wage / Low Risk"
