category_id,job_category
10,"Architecture And Engineering"
14,"Arts And Design"
21,"Building And Grounds Cleaning"
5,"Business And Financial"
13,"Community And Social Service"
18,"Construction And Extraction"
11,"Education Training And Library"
15,"Entertainment And Sports"
23,"Farming Fishing And Forestry"
20,"Food Preparation And Serving"
7,Healthcare
19,"Installation Maintenance And Repair"
12,Legal
1,"Life Physical And Social Science"
9,Management
8,Math
2,"Media And Communication"
3,"Office And Administrative Support"
4,"Personal Care And Service"
22,Production
16,"Protective Service"
6,Sales
17,"Transportation And Material Moving"
