soc_code,occupation_title,category_id,education_id,employment,annual_wage,ai_exposure,ai_exposure_llm_human,ai_exposure_aioe,exposure_level,verbal_ability,quant_ability,spatial_ability,reasoning_ability,ai_exposure_llm_gpt4
11-2022,"Sales managers",9,2,619500,138060,0.483,0.483,1.266,High,3.97,3.12,1.94,3.626,0.45
11-2030,"Public relations and fundraising managers",9,2,128900,132870,0.538,0.538,1.294,High,4.093,2.815,1.94,3.733,0.556
11-3010,"Administrative services and facilities managers",9,2,422600,106880,0.452,0.452,0.74,Medium,3.97,2.685,2.19,3.283,0.396
11-3021,"Computer and information systems managers",9,2,667100,171200,0.561,0.561,1.06,High,3.938,3.06,2.06,3.661,0.53
11-3031,"Financial managers",9,2,868600,161700,0.454,0.454,1.446,Medium,3.985,3.593,1.655,3.633,0.485
11-3051,"Industrial production managers",9,2,241900,121440,0.33,0.33,0.509,Medium,3.915,3.124,2.187,3.503,0.406
11-3071,"Transportation, storage, and distribution managers",9,3,216700,102010,0.473,0.473,0.891,High,3.939,3.042,2.065,3.489,0.487
11-3111,"Compensation and benefits managers",9,2,20900,140360,0.461,0.461,1.298,High,4,3,1.5,3.196,0.513
11-3121,"Human resources managers",9,2,221900,140030,0.45,0.45,1.32,Medium,4.155,3,1.69,3.629,0.48
11-3131,"Training and development managers",9,2,46400,127090,0.477,0.477,1.284,High,4.03,2.88,1.875,3.824,0.5
11-9013,"Farmers, ranchers, and other agricultural managers",9,3,836100,87980,0.245,0.245,-0.144,Low,3.823,2.835,2.44,3.501,0.367
11-9021,"Construction managers",9,2,550300,106980,0.4,0.4,1.029,Medium,3.785,3.12,2.75,3.57,0.444
11-9031,"Preschool and childcare center directors",9,2,90200,56270,0.516,0.516,0.838,High,4.03,2.815,1.69,3.609,0.469
11-9032,"Elementary, middle, and high school principals",9,1,333300,104070,0.455,0.455,1.049,Medium,4.315,3,1.875,3.946,0.418
11-9033,"Postsecondary education administrators",9,1,226600,103960,0.476,0.476,1.461,High,4.09,2.88,1.81,3.857,0.439
11-9041,"Architectural and engineering managers",9,2,212500,167740,0.331,0.331,0.837,Medium,4.016,3.405,2.188,3.732,0.443
11-9051,"Food service managers",9,3,352800,65310,0.396,0.396,-0.121,Medium,3.782,2.94,1.69,3.214,0.417
11-9072,"Entertainment and recreation managers",9,2,43200,77180,0.382,0.382,0.83,Medium,3.78,3.06,1.815,3.431,0.353
11-9081,"Lodging managers",9,3,52000,68130,0.38,0.38,0.402,Medium,4.03,3.065,2.31,3.606,0.457
11-9111,"Medical and health services managers",9,2,616200,117960,0.371,0.371,1.26,Medium,4.25,2.88,1.56,3.626,0.429
11-9121,"Natural sciences managers",9,2,104300,161180,0.487,0.487,1.328,High,4.03,3.127,1.873,3.578,0.531
11-9141,"Property, real estate, and community association managers",9,3,466100,66700,0.432,0.432,1.215,Medium,3.938,2.685,1.875,3.339,0.443
11-9151,"Social and community service managers",9,2,219800,78240,0.446,0.446,1.156,Medium,4.095,2.88,1.75,3.643,0.393
11-9161,"Emergency management directors",9,2,13200,86130,0.6,0.6,1.031,High,4.06,2.75,2.56,3.857,0.422
13-1030,"Claims adjusters, appraisers, examiners, and investigators",5,6,365300,76790,0.495,0.495,0.969,High,3.889,2.874,2.062,3.205,0.51
13-1041,"Compliance officers",5,2,418000,78420,0.527,0.527,0.698,High,4.005,2.73,2.272,3.529,0.526
13-1051,"Cost estimators",5,2,221400,77070,0.481,0.481,1.368,High,3.875,4,1.935,3.376,0.5
13-1071,"Human resources specialists",5,2,944300,72910,0.589,0.589,1.36,High,4.028,2.315,1.625,3.211,0.644
13-1075,"Labor relations specialists",5,2,65400,93500,0.443,0.443,1.335,Medium,4.158,2.685,1.75,3.519,0.547
13-1081,Logisticians,5,2,241000,80880,0.597,0.597,1.297,High,3.905,3.417,2.123,3.625,0.528
13-1082,"Project management specialists",5,2,1046300,100750,0.4,0.4,1.297,Medium,3.905,3.417,2.123,3.625,0.55
13-1111,"Management analysts",5,2,1075100,101190,0.5,0.5,1.432,High,4.25,2.94,1.625,3.713,0.405
13-1121,"Meeting, convention, and event planners",5,2,155800,59440,0.365,0.365,0.374,Medium,4,2.94,2.31,3.624,0.486
13-1131,Fundraisers,5,2,134400,66490,0.49,0.49,1.243,High,4.062,2.685,1.685,3.446,0.519
13-1141,"Compensation, benefits, and job analysis specialists",5,2,107000,77020,0.474,0.474,1.441,High,3.752,2.94,1.5,3.286,0.474
13-1151,"Training and development specialists",5,2,452300,65850,0.592,0.592,1.198,High,4.093,2.5,1.81,3.627,0.553
13-1161,"Market research analysts",5,2,941700,76950,0.543,0.543,1.427,High,4,3.25,1.69,3.821,0.525
13-2011,"Accountants and auditors",5,2,1579800,81680,0.52,0.52,1.482,High,3.892,3.94,1.625,3.536,0.56
13-2020,"Property appraisers and assessors",5,2,77300,65420,0.518,0.518,0.841,High,3.769,3.122,2.125,3.321,0.531
13-2031,"Budget analysts",5,2,50400,87930,0.64,0.64,1.503,High,3.907,4,1.56,3.483,0.52
13-2052,"Personal financial advisors",5,2,326000,102140,0.671,0.671,1.401,High,3.97,3.5,1.5,3.539,0.5
13-2053,"Insurance underwriters",5,2,127000,79880,0.5,0.5,1.327,High,3.688,2.815,1.5,3.251,0.571
13-2061,"Financial examiners",5,2,65100,90400,0.576,0.576,1.526,High,4.093,3.5,1.75,3.749,0.5
13-2071,"Credit counselors",5,2,31800,50480,0.693,0.693,1.385,High,3.97,3.25,1.625,3.384,0.625
13-2072,"Loan officers",5,2,301400,74180,0.648,0.648,1.386,High,3.843,3.25,1.25,3.197,0.591
13-2081,"Tax examiners and collectors, and revenue agents",5,2,57600,59740,0.677,0.677,1.367,High,3.875,3.125,1.625,3.464,0.581
15-2011,Actuaries,8,2,33600,125770,0.537,0.537,1.516,High,3.907,4.375,1.75,3.714,0.5
15-2031,"Operations research analysts",8,2,112100,91290,0.629,0.629,1.4,High,4.093,4.5,1.69,3.84,0.629
17-1011,Architects,10,2,123600,96690,0.43,0.43,1.047,Medium,3.97,3.44,3.185,3.981,0.488
17-1012,"Landscape architects",10,2,21800,79660,0.368,0.368,1.034,Medium,4.03,3,2.69,3.787,0.421
17-1021,"Cartographers and photogrammetrists",10,2,13400,78380,0.46,0.46,0.817,High,3.72,2.94,2.315,3.23,0.52
17-1022,Surveyors,10,2,56100,72740,0.42,0.42,0.146,Medium,3.907,4.032,2.968,3.501,0.51
17-2011,"Aerospace engineers",10,2,71600,134830,0.518,0.518,1.339,High,3.94,3.63,2.125,3.769,0.571
17-2021,"Agricultural engineers",10,2,1700,84630,0.333,0.333,0.941,Medium,4.03,3.38,2.685,3.787,0.426
17-2031,"Bioengineers and biomedical engineers",10,2,22200,106950,0.538,0.538,0.987,High,3.97,3.63,2.31,3.837,0.59
17-2041,"Chemical engineers",10,2,21600,121860,0.346,0.346,1.341,Medium,3.78,3.875,2.185,3.911,0.462
17-2051,"Civil engineers",10,2,368900,99590,0.455,0.455,1.283,High,3.97,3.812,2.812,3.831,0.482
17-2061,"Computer hardware engineers",10,2,76800,155020,0.318,0.318,1.142,Medium,3.845,2.875,2,3.624,0.727
17-2070,"Electrical and electronics engineers",10,2,287900,118780,0.427,0.427,0.896,Medium,3.876,3.285,2.122,3.698,0.591
17-2081,"Environmental engineers",10,2,39400,104170,0.5,0.5,1.344,High,4.109,3.595,2.438,3.768,0.556
17-2111,"Health and safety engineers",10,2,23800,109660,0.568,0.568,0.995,High,3.927,3.02,2.5,3.731,0.504
17-2112,"Industrial engineers",10,2,351100,101140,0.52,0.52,1.138,High,3.921,3.188,2.25,3.616,0.554
17-2121,"Marine engineers and naval architects",10,2,8500,105670,0.404,0.404,0.547,Medium,3.94,3.625,2.78,3.742,0.421
17-2131,"Materials engineers",10,2,23000,108310,0.317,0.317,1.037,Medium,3.94,3.435,2.19,3.641,0.488
17-2141,"Mechanical engineers",10,2,293100,102320,0.501,0.501,1.005,High,3.823,3.625,2.482,3.685,0.531
17-2151,"Mining and geological engineers",10,2,7000,101020,0.5,0.5,1.347,High,4,3.63,2.63,3.893,0.481
17-2161,"Nuclear engineers",10,2,15400,127520,0.475,0.475,1.303,High,4.09,3.56,2.12,3.876,0.55
17-2171,"Petroleum engineers",10,2,19600,141280,0.431,0.431,1.248,Medium,4.123,3.25,2.315,3.714,0.528
17-3010,Drafters,10,7,192100,65380,0.492,0.492,0.892,High,3.515,2.979,2.372,3.16,0.538
17-3021,"Aerospace engineering and operations technologists and technicians",10,7,9300,79830,0.225,0.225,0.391,Low,3.848,2.755,2.25,3.411,0.325
17-3022,"Civil engineering technologists and technicians",10,7,64900,64200,0.477,0.477,0.932,High,3.782,3.69,2.81,3.377,0.591
17-3023,"Electrical and electronic engineering technologists and technicians",10,7,93700,77180,0.33,0.33,0.352,Medium,3.499,2.75,2.218,3.428,0.406
17-3024,"Electro-mechanical and mechatronics technologists and technicians",10,7,15000,70760,0.221,0.221,-0.304,Low,3.468,2.845,2.655,3.435,0.387
17-3025,"Environmental engineering technologists and technicians",10,7,12900,58890,0.434,0.434,0.044,Medium,3.72,3,2.44,3.626,0.408
17-3026,"Industrial engineering technologists and technicians",10,7,74600,64790,0.368,0.368,0.611,Medium,3.625,3.12,2.315,3.609,0.419
17-3027,"Mechanical engineering technologists and technicians",10,7,38300,68730,0.315,0.315,-0.119,Medium,3.689,3.062,2.625,3.492,0.379
17-3028,"Calibration technologists and technicians",19,7,15800,65040,0.267,0.267,0.263,Low,3.655,3.043,2.466,3.471,0.4
17-3031,"Surveying and mapping technicians",10,3,59400,51940,0.511,0.511,0.085,High,3.371,3.28,2.53,3.187,0.5
19-1010,"Agricultural and food scientists",1,2,38700,78770,0.658,0.658,0.823,High,3.999,3.252,2.228,3.78,0.456
19-1021,"Biochemists and biophysicists",1,4,35600,103650,0.443,0.443,0.906,Medium,4.03,3.565,2.19,3.964,0.455
19-1022,Microbiologists,1,2,20700,87330,0.312,0.312,0.696,Medium,4.093,3,2,3.911,0.396
19-1023,"Zoologists and wildlife biologists",1,2,18200,72860,0.524,0.524,0.318,High,4.06,3,2.44,3.607,0.452
19-1030,"Conservation scientists and foresters",1,2,42400,69060,0.424,0.424,-0.058,Medium,3.938,2.802,2.692,3.533,0.404
19-1041,Epidemiologists,1,1,12300,83980,0.558,0.558,1.436,High,4.185,3.375,2,3.964,0.442
